code,geo_point_2d,libelle,adresse,type,total,commune,id,epci
AGENCE_METRO_VELO_CAMPUS,"45.193071,5.7697",Mvélo+ Campus,BIBLIOTHÈQUE (AVENUE DE LA),AGENCE METRO-VELO,0,Saint-Martin-d'Hères,AGENCE_METRO_VELO_CAMPUS,LaMetro
AGENCE_METRO_VELO_GRENOBLE_PRESQUILE,"45.20299,5.704202",Mvélo+ Grenoble Presqu'île,84 AVNENUE DES MARTYRS,AGENCE METRO-VELO,0,Grenoble,AGENCE_METRO_VELO_GRENOBLE_PRESQUILE,LaMetro
AGENCE_METRO_VELO_CROLLES,"45.27407,5.886524",Mvélo+ Crolles,431 AVENUE AMBROISE CROIZAT,AGENCE METRO-VELO,0,Crolles,AGENCE_METRO_VELO_CROLLES,LeGresivaudan
AGENCE_METRO_VELO_GARE_DE_GRENOBLE,"45.19209430074016,5.714565123053317",Mvélo+ Gare de Grenoble,ÉMILE GUEYMARD (RUE),AGENCE METRO-VELO,0,Grenoble,AGENCE_METRO_VELO_GARE_DE_GRENOBLE,LaMetro
