locali_id,geo_point_2d,carref_id,carref_datesupp,carref_datecre,carref_datemaj,accessi_desc,id
7,"45.1592442108994,5.73097602290016",250,,20000101000000,,Accessible,124
7,"45.1784747317108,5.72400680810226",255,,20000101000000,,Accessible,125
7,"45.1787899004849,5.72390867736167",254,,20000101000000,,Accessible,126
7,"45.1919814588737,5.72857005674412",302,,20000101000000,,Accessible,127
7,"45.187256332043,5.71100083692238",261,,20000101000000,,Accessible,128
7,"45.1663538540062,5.71356357515461",262,,20000101000000,,Accessible,129
7,"45.1795858467308,5.72022608756251",265,,20000101000000,,Accessible,130
7,"45.1789700201169,5.72065816726479",266,,20000101000000,,Accessible,131
7,"45.1865634241805,5.72228810540287",275,,20000101000000,,Accessible,132
7,"45.1864491315675,5.72263106640093",276,,20000101000000,,Accessible,133
7,"45.1720954319332,5.74070853885043",279,,20000101000000,,Accessible,134
7,"45.197722224994,5.71441713052982",291,,20000101000000,,Accessible,135
7,"45.1851988986945,5.71078941381307",284,,20000101000000,,Accessible,136
7,"45.1783488695852,5.74945753968346",298,,20000101000000,,Accessible,137
7,"45.1900418341446,5.71303087159184",309,,20000101000000,,Accessible,138
7,"45.1762654230844,5.71040373202291",314,,20000101000000,,Accessible,139
7,"45.1916342158808,5.74130635039436",315,,20000101000000,,Accessible,140
7,"45.1833627579623,5.71056539266847",321,,20000101000000,,Accessible,141
7,"45.1899061183304,5.7351195751241",327,,20000101000000,,Accessible,142
7,"45.1871667585294,5.73445964808068",324,,20000101000000,,Accessible,143
7,"45.1902979241542,5.73621010562311",326,,20000101000000,,Accessible,144
7,"45.1895162848209,5.7340345617731",328,,20000101000000,,Accessible,145
7,"45.1735053618656,5.71955561750224",340,,20000101000000,,Accessible,146
7,"45.1589590072728,5.70689838831246",337,,20000101000000,,Accessible,147
7,"45.1827000174673,5.71048453672767",333,,20000101000000,,Accessible,148
7,"45.1738271151494,5.72129578251441",338,,20000101000000,,Accessible,149
7,"45.1736662843265,5.72042592498763",339,,20000101000000,,Accessible,150
7,"45.1572722074825,5.73375331443037",343,,20000101000000,,Accessible,151
7,"45.1817031741144,5.71036291327782",344,,20000101000000,,Accessible,152
7,"45.183104221506,5.73365648420878",396,,20000101000000,,Accessible,153
