"fid","id","id_local","id_osm","code_com","xlong","ylat","capacite","capacite_cargo","mobilier","protection","couverture","acces","surveillance","lumiere","url_info","d_service","source","proprietaire","gestionnaire","date_maj","commentaires","nom_local","commune_local","adresse_local","gratuit","type_accroche","type","CODE","epci",lon,lat
"56","16","16","null","null","null","null","80","0","RACK DOUBLE ETAGE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2023-11-01","SMMAG","SMMAG","Mvélo+","2023-09-22","mobilier","Seyssins Le Prisme","Seyssins","89 avenue de Grenoble","null","null","stationnementcyclable","55","LaMetro",5.69109,45.16611
"57","69","69","null","38516","5.752839","45.196517","6","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","SABLON","La Tronche","Avenue de Verdun","null","null","stationnementcyclable","56","LaMetro",5.75284,45.19652
"58","17","17","null","38185","5.733022225660925","45.18661527774565","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2022-11-01","SMMAG","SMMAG","Mvélo+","2022-10-20","minibox","BOCQ","Grenoble","1 rue Jean Bocq","null","null","stationnementcyclable","57","LaMetro",5.73302,45.18662
"59","18","18","null","38382","5.660337881545307","45.23723383115645","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2022-11-01","SMMAG","SMMAG","Mvélo+","2022-10-20","minibox","SAN MARINO","Saint-Égrève","D105F","null","null","stationnementcyclable","58","LaMetro",5.66034,45.23723
"60","19","19","null","38382","5.682274965958547","45.23082668198806","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2022-11-01","SMMAG","SMMAG","Mvélo+","2022-10-20","minibox","CHATELET","Saint-Égrève","impasse du Châtelet","null","null","stationnementcyclable","59","LaMetro",5.68227,45.23083
"61","28","28","null","38111","5.692959","45.118527","6","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","PONT ROUGE","Claix","23B av de la Liberation","null","null","stationnementcyclable","60","LaMetro",5.69296,45.11853
"62","29","29","null","38150","5.838257","45.201588","10","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","DOMENE MAIRIE","Domène","1 avenue de la gareDomène","null","null","stationnementcyclable","61","LaMetro",5.83826,45.20159
"63","30","30","null","38158","5.754631","45.147052","6","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","VERDERET P+R","Eybens","27 Av de la République terminus C4","null","null","stationnementcyclable","62","LaMetro",5.75463,45.14705
"64","31","31","null","38158","5.748596","45.153353","6","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","ODYSSEE","Eybens","87-91 Av Jean Jaurés arret C4","null","null","stationnementcyclable","63","LaMetro",5.7486,45.15335
"65","32","32","null","38485","5.827422424524326","45.206848680288886","10","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","CHENEVIERES","Domène","Rue Aristide Bergès - arrêt Chenevières","null","null","stationnementcyclable","64","LaMetro",5.82742,45.20685
