FID,id,rute_nr,rutenavn,status,kategori,under_kategori,kommune,ogc_fid,wkb_geometry
cykeldata_kk.fid-2b80431e_19460c4a556_6b79,415,,,Eksisterende,Cykelmulighed,Grøn,København,15,"MULTILINESTRING ((12.530599310174956 55.663090111504935, 12.53086019720259 55.66262888223422, 12.531271134111192 55.66186632978116, 12.531316780273622 55.66178157238191, 12.53133061122208 55.661760313337474, 12.531362292958363 55.661730627435475, 12.53141887022725 55.66170550154044, 12.531848277485933 55.66156792759315))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b7a,418,,,Eksisterende,Cykelmulighed,Grøn,København,16,"MULTILINESTRING ((12.546445017631902 55.69125548526326, 12.547128607762694 55.690999652478155))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b7b,932,,,Eksisterende,Cykelmulighed,Grøn,København,17,"MULTILINESTRING ((12.487345535764076 55.71468278035653, 12.487293587130255 55.71457061992147, 12.487248962229714 55.714328562754844, 12.487147097542659 55.71392487388282, 12.487046426260054 55.713702196167326, 12.486699688116284 55.71290895549935, 12.486594825518706 55.7126582237984, 12.48656931164639 55.712596451999445, 12.486415530987244 55.712057100151306, 12.486320724519548 55.711728648162726, 12.48626647665616 55.711580510495985, 12.486238042134051 55.71150844787666, 12.486108128594823 55.71126134445532, 12.48605360138131 55.71115762937841, 12.485971036953023 55.71102897960029, 12.485899576629365 55.71088480895571, 12.485863882481905 55.710682706463736, 12.485884197577215 55.710440719516036, 12.485889835519322 55.71037356223811, 12.4859315174888 55.710208634016055, 12.486002588221313 55.70999571750088))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b7c,973,,,Eksisterende,Cykelmulighed,,København,18,"MULTILINESTRING ((12.52369058954859 55.72613278223136, 12.525024082487954 55.72640218975722, 12.52521747205482 55.726451454047535, 12.525422008857811 55.72650821844179, 12.525830136814719 55.726567611574566, 12.527427743420166 55.72676396312907, 12.527526152710704 55.72677612317051, 12.527612813172777 55.72677628700513, 12.527679680099425 55.72676512619988, 12.527713639011845 55.72673240658076, 12.528797792527111 55.72693386193969, 12.52939397247011 55.727044360995336, 12.529534584232776 55.7270622565028, 12.532256039689461 55.72692728475551))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b7d,960,,,Eksisterende,Cykelmulighed,Grøn,København,19,"MULTILINESTRING ((12.458817645715712 55.710469860082945, 12.459287270079056 55.71087357037281, 12.460092530437091 55.71145618853346, 12.460286769569205 55.71163012845165, 12.460293447806036 55.711779670077114, 12.460233841126216 55.71205124010843, 12.4601533403961 55.712231637371005, 12.460029764430057 55.712365657084206, 12.459844867050883 55.712481381778325, 12.459316254362811 55.7127295006026, 12.458078089895906 55.71321348895378, 12.457706363367999 55.713384557776514, 12.457276108472854 55.71361370989993, 12.456852371537979 55.71388505156502, 12.456802627364434 55.71392821312433))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b7e,495,,,Eksisterende,Cykelmulighed,Grøn,København,20,"MULTILINESTRING ((12.566069044090272 55.70119212005128, 12.56608157833774 55.70145710199802, 12.56609654896396 55.70158812604271, 12.56613176530586 55.70171766229373, 12.56616559570385 55.7017970649016, 12.566241995335135 55.70188754851506, 12.566321049096896 55.70196347820817, 12.566447087714565 55.702053507522784, 12.566520808755415 55.70209689492582, 12.566731278425909 55.702220762877914, 12.566874932998505 55.70231711325905, 12.566950359447166 55.70238991102751, 12.567004504094827 55.70248077163004, 12.567038667630852 55.70253950728111, 12.567054779423378 55.70260078807549, 12.567072979936272 55.70272353562633, 12.567063176348334 55.70276095663583))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b7f,494,,,Eksisterende,Cykelmulighed,Grøn,København,21,"MULTILINESTRING ((12.568026096523813 55.70335661793579, 12.568047417553315 55.70334421854416, 12.568058967689689 55.703327697415986, 12.568069401391101 55.703279737640436, 12.568089302990717 55.70312261236571, 12.568097160141491 55.70300800875369))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b80,522,,,Eksisterende,Cykelmulighed,Grøn,København,22,"MULTILINESTRING ((12.521108613437384 55.6422195490352, 12.52068043406854 55.64150989109449))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b81,773,,,Eksisterende,Cykelmulighed,,København,23,"MULTILINESTRING ((12.49577467165577 55.66621237780702, 12.495928501761403 55.665601025855274))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b82,493,,,Eksisterende,Cykelmulighed,Grøn,København,24,"MULTILINESTRING ((12.56712163241721 55.70367254829147, 12.567226807646275 55.7036454816774, 12.567319434974525 55.70361527311715, 12.567513223529941 55.70354192921413, 12.568026096523827 55.70335661793579))"
