mob_arce_id,geo_point_2d,mob_arce_nb,mob_arce_typ,mob_arce_datecre,latitude,longitude,geometry,rayon
46,"45.1865894781128,5.72616761182579",1,nouveau modèle,20010101000000,45.1865894781128,5.72616761182579,POINT (637434.0627453824 5650944.167771279),5.0
47,"45.1873270966455,5.72778228524969",2,nouveau modèle,20060101000000,45.1873270966455,5.72778228524969,POINT (637613.8073687283 5651060.671488459),7.0710678118654755
48,"45.1875477425917,5.72837930646545",3,nouveau modèle,19990101000000,45.1875477425917,5.72837930646545,POINT (637680.2674664594 5651095.521872701),8.660254037844386
49,"45.1870128765722,5.72856041280374",5,nouveau modèle,20040101000000,45.1870128765722,5.72856041280374,POINT (637700.4281318174 5651011.041576687),11.180339887498949
50,"45.1876032980993,5.72890982744115",5,ancien modèle,19930101000000,45.1876032980993,5.72890982744115,POINT (637739.3247913296 5651104.296724528),11.180339887498949
51,"45.1877025435761,5.72929516008192",2,nouveau modèle,20030101000000,45.1877025435761,5.72929516008192,POINT (637782.2198246862 5651119.972317734),7.0710678118654755
52,"45.1860227163318,5.72975723191191",4,nouveau modèle,19990101000000,45.1860227163318,5.72975723191191,POINT (637833.6574255106 5650854.651178623),10.0
53,"45.1858939830464,5.7289246745122",5,nouveau modèle,20140917000000,45.1858939830464,5.7289246745122,POINT (637740.9775597187 5650834.318659636),11.180339887498949
54,"45.1871198974789,5.73059952274487",2,nouveau modèle,20000101000000,45.1871198974789,5.73059952274487,POINT (637927.4208121354 5651027.945106863),7.0710678118654755
55,"45.188890970089,5.73100066417964",9,nouveau modèle,20080101000000,45.188890970089,5.73100066417964,POINT (637972.0756723902 5651307.683656237),15.0
56,"45.1892951833146,5.73153415852877",6,nouveau modèle,20000101000000,45.1892951833146,5.73153415852877,POINT (638031.4639916763 5651371.529814427),12.24744871391589
57,"45.1895843630927,5.73147469290265",4,nouveau modèle,19990101000000,45.1895843630927,5.73147469290265,POINT (638024.8443084571 5651417.20652451),10.0
58,"45.1894946132978,5.732639387814",4,nouveau modèle,20010101000000,45.1894946132978,5.732639387814,POINT (638154.497552918 5651403.030282416),10.0
59,"45.1885407680164,5.73296522985359",9,nouveau modèle,19990101000000,45.1885407680164,5.73296522985359,POINT (638190.7701228441 5651252.369016997),15.0
60,"45.1886339195629,5.73456659701571",2,nouveau modèle,20030101000000,45.1886339195629,5.73456659701571,POINT (638369.0334999044 5651267.082329563),7.0710678118654755
61,"45.1881278253056,5.73525111063354",3,nouveau modèle,20030101000000,45.1881278253056,5.73525111063354,POINT (638445.2332072824 5651187.144891444),8.660254037844386
62,"45.1896051614382,5.73407335034186",3,nouveau modèle,20040101000000,45.1896051614382,5.73407335034186,POINT (638314.125531336 5651420.491687086),8.660254037844386
63,"45.1895694936331,5.73392551118185",1,nouveau modèle,20020101000000,45.1895694936331,5.73392551118185,POINT (638297.6681513244 5651414.857848417),5.0
64,"45.1894889820235,5.73416354875485",1,nouveau modèle,20040101000000,45.1894889820235,5.73416354875485,POINT (638324.1663727405 5651402.140806945),5.0
65,"45.1900427611128,5.73375147802321",3,nouveau modèle,20020101000000,45.1900427611128,5.73375147802321,POINT (638278.2948687235 5651489.612178563),8.660254037844386
66,"45.1904303211526,5.73484029322586",3,nouveau modèle,19900101000000,45.1904303211526,5.73484029322586,POINT (638399.5012226504 5651550.829167897),8.660254037844386
67,"45.1894782168931,5.73719592969868",5,nouveau modèle,20030101000000,45.1894782168931,5.73719592969868,POINT (638661.7294752988 5651400.440424844),11.180339887498949
68,"45.1899656043768,5.73667510975755",4,nouveau modèle,19930101000000,45.1899656043768,5.73667510975755,POINT (638603.7520646572 5651477.424947381),10.0
69,"45.1898015834521,5.73143830562675",4,nouveau modèle,19990101000000,45.1898015834521,5.73143830562675,POINT (638020.7936954325 5651451.517206896),10.0
70,"45.1901141943356,5.73127521596605",6,nouveau modèle,20030101000000,45.1901141943356,5.73127521596605,POINT (638002.6386374496 5651500.895371476),12.24744871391589
71,"45.1909750658535,5.73275908525453",5,nouveau modèle,20040101000000,45.1909750658535,5.73275908525453,POINT (638167.822211047 5651636.874942083),11.180339887498949
72,"45.1909339163294,5.73272249505379",3,nouveau modèle,20060101000000,45.1909339163294,5.73272249505379,POINT (638163.7490085326 5651630.375093038),8.660254037844386
73,"45.1908436482206,5.73240889389506",3,nouveau modèle,20060101000000,45.1908436482206,5.73240889389506,POINT (638128.8390872306 5651616.116643735),8.660254037844386
74,"45.1914023248113,5.73165959412069",2,nouveau modèle,20000101000000,45.1914023248113,5.73165959412069,POINT (638045.4274178962 5651704.36369722),7.0710678118654755
75,"45.1913915201814,5.73156263363951",3,nouveau modèle,20000101000000,45.1913915201814,5.73156263363951,POINT (638034.6338265042 5651702.65701869),8.660254037844386
76,"45.1921114137331,5.73398484640956",4,nouveau modèle,20040101000000,45.1921114137331,5.73398484640956,POINT (638304.2733186592 5651816.370725944),10.0
77,"45.1935769772255,5.73378817732623",3,nouveau modèle,20100101000000,45.1935769772255,5.73378817732623,POINT (638282.3802164481 5652047.874199448),8.660254037844386
